物件名,住所,最寄り駅,賃料,間取り,面積
東京メトロ日比谷線 人形町駅 12階建 築21年,東京都中央区日本橋富沢町,['東京メトロ日比谷線/人形町駅 歩5分\n都営新宿線/馬喰横山駅 歩2分\n都営浅草線/東日本橋駅 歩2分'],13.7万円,,
カスタリア人形町II,東京都中央区日本橋富沢町,['東京メトロ日比谷線/人形町駅 歩5分\n都営新宿線/馬喰横山駅 歩5分\n東京メトロ半蔵門線/水天宮前駅 歩11分'],16.4万円,,
アーク銀座京橋,東京都中央区八丁堀３,['東京メトロ銀座線/京橋駅 歩5分\nＪＲ京葉線/八丁堀駅 歩6分\n都営浅草線/宝町駅 歩2分'],10.4万円,,
東京メトロ銀座線 京橋駅 11階建 築17年,東京都中央区八丁堀３,['東京メトロ銀座線/京橋駅 歩5分\nＪＲ京葉線/八丁堀駅 歩6分\n都営浅草線/宝町駅 歩2分'],10.4万円,,
メリットコート,東京都中央区東日本橋１,['都営浅草線/東日本橋駅 歩3分\n都営新宿線/馬喰横山駅 歩4分\n東京メトロ日比谷線/人形町駅 歩9分'],12.3万円,,
四番町プラザ,東京都千代田区四番町,['東京メトロ有楽町線/麹町駅 歩4分\nＪＲ中央線/市ケ谷駅 歩7分\n東京メトロ半蔵門線/半蔵門駅 歩7分'],34万円,,
ＪＲ京葉線 八丁堀駅 13階建 築23年,東京都中央区新川２,['ＪＲ京葉線/八丁堀駅 歩3分\n東京メトロ日比谷線/茅場町駅 歩5分\n都営浅草線/宝町駅 歩13分'],8.8万円,,
IS銀座レジデンス,東京都中央区銀座８,['ＪＲ山手線/新橋駅 歩6分\n都営浅草線/東銀座駅 歩6分\n東京メトロ銀座線/銀座駅 歩8分'],33万円,,
パークタワー晴海,東京都中央区晴海２,['都営大江戸線/月島駅 歩14分\n東京メトロ有楽町線/豊洲駅 歩16分\n新交通ゆりかもめ/市場前駅 歩23分'],34万円,,
都営大江戸線 月島駅 地下1地上48階建 築6年,東京都中央区晴海２,['都営大江戸線/月島駅 歩12分\n東京メトロ有楽町線/豊洲駅 歩16分\n新交通ゆりかもめ/新豊洲駅 歩19分'],35万円,,
レジディア日本橋人形町II,東京都中央区日本橋人形町３,['東京メトロ日比谷線/人形町駅 歩1分\n都営浅草線/人形町駅 歩1分\n東京メトロ半蔵門線/水天宮前駅 歩5分'],10.6万円,,
スカイコートヌーベル神田,東京都千代田区岩本町１,['ＪＲ山手線/神田駅 歩6分\n東京メトロ日比谷線/小伝馬町駅 歩4分\n都営新宿線/岩本町駅 歩8分'],8万円,,
エマーレ日本橋富沢町,東京都中央区日本橋富沢町,['都営新宿線/馬喰横山駅 歩3分\n東京メトロ日比谷線/人形町駅 歩5分\n都営浅草線/東日本橋駅 歩4分'],8.4万円,,
東京メトロ銀座線 神田駅 15階建 築2年,東京都千代田区神田須田町２,['東京メトロ銀座線/神田駅 歩3分\nＪＲ山手線/秋葉原駅 歩5分\nＪＲ中央線/御茶ノ水駅 歩10分'],13.4万円,,
レジディア月島III,東京都中央区月島３,['東京メトロ有楽町線/月島駅 歩5分\n都営大江戸線/勝どき駅 歩6分\n東京メトロ日比谷線/築地駅 歩20分'],10.7万円,,
アヴェニール日本橋,東京都中央区日本橋２,['東京メトロ銀座線/日本橋駅 歩1分\nＪＲ山手線/東京駅 歩8分\n東京メトロ半蔵門線/三越前駅 歩7分'],22.6万円,,
クオリタス日本橋浜町,東京都中央区日本橋浜町３,['都営新宿線/浜町駅 歩6分\n都営大江戸線/森下駅 歩8分\n東京メトロ半蔵門線/水天宮前駅 歩9分'],12.7万円,,
東京メトロ半蔵門線 九段下駅 13階建 新築,東京都千代田区神田神保町１,['東京メトロ半蔵門線/九段下駅 歩1分\n東京メトロ丸ノ内線/淡路町駅 歩8分\n東京メトロ東西線/九段下駅 歩9分'],14.6万円,,
スペーシア秋葉原,東京都千代田区外神田４,['ＪＲ山手線/秋葉原駅 歩5分\n東京メトロ銀座線/末広町駅 歩2分\n東京メトロ千代田線/湯島駅 歩9分'],11.4万円,,
リバーポイントタワー,東京都中央区佃１,['東京メトロ有楽町線/月島駅 歩7分\nＪＲ京葉線/越中島駅 歩11分\n東京メトロ日比谷線/築地駅 歩19分'],24.5万円,,
東京メトロ半蔵門線 水天宮前駅 12階建 築24年,東京都中央区日本橋箱崎町,['東京メトロ半蔵門線/水天宮前駅 歩7分\n都営浅草線/人形町駅 歩14分\n都営新宿線/浜町駅 歩15分'],8.4万円,,
東京メトロ半蔵門線 水天宮前駅 12階建 築24年,東京都中央区日本橋箱崎町,['東京メトロ半蔵門線/水天宮前駅 歩7分\n都営浅草線/人形町駅 歩14分\n都営新宿線/浜町駅 歩15分'],8.4万円,,
ステージグランデ日本橋人形町,東京都中央区日本橋人形町２,['東京メトロ半蔵門線/水天宮前駅 歩3分\n東京メトロ日比谷線/人形町駅 歩3分\n都営新宿線/浜町駅 歩6分'],13.9万円,,
グランヴァンデュヴェール東京,東京都中央区日本橋茅場町３,['東京メトロ日比谷線/茅場町駅 歩2分\n東京メトロ日比谷線/八丁堀駅 歩3分\n東京メトロ銀座線/日本橋駅 歩7分'],9.7万円,,
ザスカイ日本橋浜町,東京都中央区日本橋浜町３,['東京メトロ半蔵門線/水天宮前駅 歩4分\n東京メトロ日比谷線/人形町駅 歩9分\n都営新宿線/浜町駅 歩10分'],7.9万円,,
東京メトロ日比谷線 築地駅 10階建 築18年,東京都中央区新富２,['東京メトロ日比谷線/築地駅 歩5分\n東京メトロ有楽町線/新富町駅 歩2分'],14.3万円,,
HARUMI FLAG PORT VILLAGE B棟,東京都中央区晴海５,['都営大江戸線/勝どき駅 歩13分\n新交通ゆりかもめ/市場前駅 歩18分\n東京メトロ有楽町線/月島駅 歩30分'],14万円,,
プレール・ドゥーク月島,東京都中央区佃２,['東京メトロ有楽町線/月島駅 歩3分\n東京メトロ有楽町線/新富町駅 歩13分\nＪＲ京葉線/越中島駅 歩13分'],10.6万円,,
グランド・ガーラ銀座,東京都中央区銀座１,['東京メトロ銀座線/銀座駅 歩8分\n東京メトロ有楽町線/新富町駅 歩2分\n東京メトロ有楽町線/銀座一丁目駅 歩5分'],10.6万円,,
都営新宿線 浜町駅 12階建 築3年,東京都中央区日本橋浜町３,['都営新宿線/浜町駅 歩6分\n東京メトロ半蔵門線/水天宮前駅 歩9分'],12.1万円,,
DEUX　TOURS（ドゥ・トゥール）　EAST棟,東京都中央区晴海３,['都営大江戸線/勝どき駅 歩9分\n東京メトロ有楽町線/月島駅 歩20分\n新交通ゆりかもめ/市場前駅 歩23分'],31.35万円,,
Park　Axis　秋葉原,東京都千代田区神田佐久間町３,['ＪＲ山手線/秋葉原駅 歩4分\nＪＲ総武線/浅草橋駅 歩7分\nＪＲ中央線/神田駅 歩15分'],11.3万円,,
ニチレイ明石町レジデンス,東京都中央区明石町,['東京メトロ有楽町線/新富町駅 歩5分\n東京メトロ有楽町線/月島駅 歩8分\n東京メトロ日比谷線/築地駅 歩8分'],16.1万円,,
ＨＦ八丁堀レジデンスII,東京都中央区新川２,['ＪＲ京葉線/八丁堀駅 歩3分\n東京メトロ東西線/茅場町駅 歩5分\n都営浅草線/宝町駅 歩13分'],8.8万円,,
スカイコート日本橋人形町,東京都中央区日本橋堀留町１,['都営浅草線/人形町駅 歩4分\n東京メトロ日比谷線/小伝馬町駅 歩6分\n東京メトロ半蔵門線/水天宮前駅 歩7分'],10.5万円,,
ParkLUXE銀座八丁目mono,東京都中央区銀座８,['都営大江戸線/汐留駅 歩8分\nＪＲ山手線/新橋駅 歩8分\n都営浅草線/東銀座駅 歩8分'],13.5万円,,
レジディア御茶ノ水II,東京都千代田区外神田２,['ＪＲ総武線/御茶ノ水駅 歩8分\n東京メトロ千代田線/新御茶ノ水駅 歩8分\n東京メトロ銀座線/末広町駅 歩5分'],12.5万円,,
東京メトロ東西線 九段下駅 8階建 築27年,東京都千代田区九段北１,['東京メトロ東西線/九段下駅 歩3分\n東京メトロ半蔵門線/九段下駅 歩3分\n都営新宿線/九段下駅 歩3分'],12.8万円,,
東京メトロ有楽町線 月島駅 8階建 築12年,東京都中央区佃３,['東京メトロ有楽町線/月島駅 歩2分\n都営大江戸線/月島駅 歩2分'],11.8万円,,
都営新宿線 浜町駅 10階建 築21年,東京都中央区日本橋浜町１,['都営新宿線/浜町駅 歩3分\n都営新宿線/馬喰横山駅 歩4分\n都営浅草線/東日本橋駅 歩4分'],13.1万円,,
レリシェス日本橋,東京都中央区日本橋浜町１,['都営新宿線/浜町駅 歩4分\n都営浅草線/東日本橋駅 歩5分'],13.1万円,,
東京メトロ半蔵門線 神保町駅 地下1地上14階建 築21年,東京都千代田区神田神保町２,['東京メトロ半蔵門線/神保町駅 歩1分\n東京メトロ東西線/九段下駅 歩7分\nＪＲ総武線/水道橋駅 歩14分'],10.5万円,,
東京メトロ半蔵門線 半蔵門駅 9階建 築21年,東京都千代田区一番町,['東京メトロ半蔵門線/半蔵門駅 歩3分\n東京メトロ有楽町線/麹町駅 歩6分\nＪＲ総武線/市ケ谷駅 歩13分'],13.8万円,,
東京メトロ日比谷線 八丁堀駅 地下1地上13階建 築21年,東京都中央区八丁堀３,['東京メトロ日比谷線/八丁堀駅 歩4分\n都営浅草線/宝町駅 歩4分\n東京メトロ銀座線/京橋駅 歩9分'],11万円,,
ＪＲ山手線 秋葉原駅 12階建 築22年,東京都千代田区神田佐久間町３,['ＪＲ山手線/秋葉原駅 歩2分\n都営新宿線/岩本町駅 歩6分\nＪＲ総武線/浅草橋駅 歩8分'],12.6万円,,
東京メトロ日比谷線 人形町駅 13階建 築20年,東京都中央区日本橋富沢町,['東京メトロ日比谷線/人形町駅 歩5分\n都営新宿線/馬喰横山駅 歩5分\n都営浅草線/東日本橋駅 歩6分'],11.5万円,,
都営新宿線 馬喰横山駅 10階建 築13年,東京都中央区日本橋大伝馬町,['都営新宿線/馬喰横山駅 歩2分\nＪＲ総武線快速/馬喰町駅 歩4分\n都営浅草線/東日本橋駅 歩4分'],10.35万円,,
スパシエ日本橋エセンザ,東京都中央区日本橋大伝馬町,['都営新宿線/馬喰横山駅 歩2分\n都営浅草線/東日本橋駅 歩4分\n東京メトロ日比谷線/人形町駅 歩7分'],10.35万円,,
パークハビオ平河町,東京都千代田区平河町１,['東京メトロ有楽町線/麹町駅 歩2分\n東京メトロ半蔵門線/半蔵門駅 歩5分\n東京メトロ南北線/永田町駅 歩7分'],14.5万円,,
パークフラッツ銀座イースト,東京都中央区湊３,['東京メトロ有楽町線/新富町駅 歩4分\n東京メトロ日比谷線/築地駅 歩7分\n都営大江戸線/月島駅 歩10分'],16.9万円,,
東京メトロ有楽町線 新富町駅 11階建 築18年,東京都中央区湊３,['東京メトロ有楽町線/新富町駅 歩8分\n東京メトロ日比谷線/築地駅 歩9分\nＪＲ京葉線/八丁堀駅 歩10分'],16.9万円,,
朝日六番町マンション,東京都千代田区六番町,['都営新宿線/市ケ谷駅 歩3分\n東京メトロ有楽町線/麹町駅 歩5分\nＪＲ総武線/四ツ谷駅 歩8分'],19万円,,
麹町三番町マンション,東京都千代田区三番町,['東京メトロ半蔵門線/半蔵門駅 歩6分\n都営新宿線/市ケ谷駅 歩10分\n東京メトロ東西線/九段下駅 歩14分'],30万円,,
東京メトロ日比谷線 築地駅 11階建 築20年,東京都中央区築地１,['東京メトロ日比谷線/築地駅 歩3分\n東京メトロ有楽町線/新富町駅 歩3分\n東京メトロ銀座線/銀座駅 歩8分'],13.7万円,,
ＪＲ中央線 飯田橋駅 11階建 築43年,東京都千代田区飯田橋２,['ＪＲ中央線/飯田橋駅 歩2分\n東京メトロ東西線/飯田橋駅 歩2分'],18万円,,
東京メトロ半蔵門線 水天宮前駅 8階建 築6年,東京都中央区日本橋中洲,['東京メトロ半蔵門線/水天宮前駅 歩7分\n都営新宿線/浜町駅 歩7分\n東京メトロ日比谷線/人形町駅 歩12分'],14.9万円,,
コスモリード月島,東京都中央区佃２,['東京メトロ有楽町線/月島駅 歩5分\n都営大江戸線/勝どき駅 歩18分\nＪＲ京葉線/八丁堀駅 歩19分'],9.2万円,,
東京メトロ有楽町線 新富町駅 14階建 築21年,東京都中央区新富２,['東京メトロ有楽町線/新富町駅 歩1分\n東京メトロ日比谷線/築地駅 歩4分\n都営浅草線/東銀座駅 歩8分'],13万円,,
メインステージ神田岩本町II,東京都千代田区岩本町１,['ＪＲ総武線快速/馬喰町駅 歩3分\n東京メトロ日比谷線/小伝馬町駅 歩4分\n東京メトロ日比谷線/秋葉原駅 歩14分'],8.8万円,,
東京メトロ日比谷線 茅場町駅 14階建 築13年,東京都中央区新川１,['東京メトロ日比谷線/茅場町駅 歩8分\nＪＲ京葉線/八丁堀駅 歩7分\n東京メトロ半蔵門線/水天宮前駅 歩16分'],18.6万円,,
ピアース千代田淡路町,東京都千代田区神田美土代町,['都営新宿線/小川町駅 歩3分\n東京メトロ銀座線/神田駅 歩7分\nＪＲ中央線/御茶ノ水駅 歩10分'],14万円,,
東京メトロ日比谷線 八丁堀駅 10階建 築13年,東京都中央区新川１,['東京メトロ日比谷線/八丁堀駅 歩6分\n東京メトロ東西線/茅場町駅 歩7分\n東京メトロ半蔵門線/水天宮前駅 歩13分'],11万円,,
オーベル月島リバージュグラン,東京都中央区月島３,['東京メトロ有楽町線/月島駅 歩5分\n都営大江戸線/勝どき駅 歩9分\n東京メトロ日比谷線/築地駅 歩21分'],17万円,,
ガラ・ステージ御茶ノ水,東京都千代田区外神田２,['ＪＲ中央線/御茶ノ水駅 歩5分\nＪＲ山手線/秋葉原駅 歩6分\n都営新宿線/小川町駅 歩6分'],9.4万円,,
ＪＲ山手線 神田駅 10階建 築24年,東京都千代田区内神田２,['ＪＲ山手線/神田駅 歩3分\n東京メトロ丸ノ内線/大手町駅 歩6分\n東京メトロ丸ノ内線/淡路町駅 歩9分'],12.4万円,,
トーシンフェニックス日本橋兜町弐番館,東京都中央区日本橋兜町,['ＪＲ山手線/東京駅 歩15分\n東京メトロ日比谷線/人形町駅 歩9分\n東京メトロ銀座線/三越前駅 歩3分'],9.5万円,,
シャルム内神田,東京都千代田区内神田２,['ＪＲ山手線/神田駅 歩3分\nＪＲ山手線/東京駅 歩13分\nＪＲ総武線快速/新日本橋駅 歩8分'],12.4万円,,
ジオーブルミナス,東京都中央区銀座７,['東京メトロ日比谷線/東銀座駅 歩6分\n東京メトロ銀座線/銀座駅 歩7分\n東京メトロ銀座線/新橋駅 歩8分'],18.9万円,,
東京メトロ銀座線 銀座駅 13階建 築19年,東京都中央区銀座７,['東京メトロ銀座線/銀座駅 歩4分\n都営浅草線/東銀座駅 歩5分\nＪＲ山手線/新橋駅 歩8分'],18.8万円,,
東京メトロ日比谷線 八丁堀駅 13階建 築9年,東京都中央区新富２,['東京メトロ日比谷線/八丁堀駅 歩7分\n東京メトロ有楽町線/新富町駅 歩1分\n都営浅草線/東銀座駅 歩10分'],13万円,,
東京メトロ半蔵門線 水天宮前駅 12階建 築21年,東京都中央区日本橋蛎殻町２,['東京メトロ半蔵門線/水天宮前駅 歩3分\n東京メトロ日比谷線/人形町駅 歩5分\n都営新宿線/浜町駅 歩8分'],8.6万円,,
東京メトロ半蔵門線 半蔵門駅 14階建 築3年,東京都千代田区麹町２,['東京メトロ半蔵門線/半蔵門駅 歩1分\n東京メトロ有楽町線/麹町駅 歩4分\n東京メトロ南北線/永田町駅 歩9分'],29.9万円,,
東京メトロ銀座線 神田駅 12階建 築4年,東京都千代田区神田多町２,['東京メトロ銀座線/神田駅 歩3分\n東京メトロ丸ノ内線/大手町駅 歩9分\nＪＲ中央線/御茶ノ水駅 歩14分'],14万円,,
パークリュクス神田,東京都千代田区神田多町２,['ＪＲ山手線/神田駅 歩3分\n東京メトロ丸ノ内線/大手町駅 歩9分\nＪＲ総武線/秋葉原駅 歩11分'],14万円,,
クオス銀座エスト・プルミエ,東京都中央区築地３,['東京メトロ日比谷線/築地駅 歩1分\n東京メトロ有楽町線/新富町駅 歩4分\nＪＲ京葉線/八丁堀駅 歩11分'],11.5万円,,
東京メトロ日比谷線 築地駅 13階建 築21年,東京都中央区築地３,['東京メトロ日比谷線/築地駅 歩2分\n東京メトロ有楽町線/新富町駅 歩3分\n東京メトロ日比谷線/東銀座駅 歩13分'],11.5万円,,
都営浅草線 宝町駅 地下1地上13階建 築21年,東京都中央区銀座１,['都営浅草線/宝町駅 歩5分\n東京メトロ有楽町線/銀座一丁目駅 歩7分\n東京メトロ銀座線/京橋駅 歩7分'],10.7万円,,
ＪＲ山手線 東京駅 11階建 築22年,東京都中央区八丁堀３,['ＪＲ山手線/東京駅 歩10分\n都営浅草線/宝町駅 歩2分\n東京メトロ銀座線/京橋駅 歩4分'],9万円,,
トーシンフェニックス八丁堀,東京都中央区新川２,['東京メトロ半蔵門線/水天宮前駅 歩13分\n東京メトロ日比谷線/茅場町駅 歩8分\n東京メトロ日比谷線/八丁堀駅 歩8分'],7.8万円,,
東京メトロ銀座線 神田駅 12階建 築2年,東京都千代田区神田多町２,['東京メトロ銀座線/神田駅 歩5分\n東京メトロ丸ノ内線/淡路町駅 歩2分\n東京メトロ千代田線/新御茶ノ水駅 歩7分'],13.2万円,,
パークアクシス三番町,東京都千代田区三番町,['東京メトロ半蔵門線/半蔵門駅 歩6分\nＪＲ中央線/市ケ谷駅 歩13分\n東京メトロ有楽町線/麹町駅 歩11分'],21.4万円,,
東京メトロ銀座線 神田駅 12階建 築2年,東京都千代田区神田多町２,['東京メトロ銀座線/神田駅 歩5分\n東京メトロ丸ノ内線/淡路町駅 歩2分\n東京メトロ千代田線/新御茶ノ水駅 歩7分'],13.2万円,,
パークアクシス三番町,東京都千代田区三番町,['東京メトロ半蔵門線/半蔵門駅 歩6分\nＪＲ中央線/市ケ谷駅 歩13分\n東京メトロ有楽町線/麹町駅 歩11分'],21.4万円,,
東京メトロ日比谷線 人形町駅 10階建 築17年,東京都中央区日本橋富沢町,['東京メトロ日比谷線/人形町駅 歩5分\n東京メトロ半蔵門線/水天宮前駅 歩10分\n都営新宿線/馬喰横山駅 歩3分'],11.9万円,,
カーサスプレンディッド一番町,東京都千代田区一番町,['東京メトロ半蔵門線/半蔵門駅 歩3分\n東京メトロ有楽町線/麹町駅 歩9分\nＪＲ中央線/市ケ谷駅 歩13分'],17.5万円,,
プロスパー飯田橋,東京都千代田区飯田橋１,['東京メトロ東西線/飯田橋駅 歩3分\n東京メトロ東西線/九段下駅 歩10分\nＪＲ中央線/水道橋駅 歩11分'],10.3万円,,
ルクレ日本橋蛎殻町,東京都中央区日本橋蛎殻町２,['東京メトロ半蔵門線/水天宮前駅 歩1分\n東京メトロ日比谷線/人形町駅 歩6分\n東京メトロ東西線/茅場町駅 歩8分'],18.9万円,,
ヴェルステージ日本橋人形町,東京都中央区日本橋堀留町２,['都営浅草線/人形町駅 歩4分\n東京メトロ日比谷線/小伝馬町駅 歩8分\n都営新宿線/馬喰横山駅 歩11分'],8.4万円,,
東京メトロ東西線 茅場町駅 10階建 築17年,東京都中央区日本橋茅場町３,['東京メトロ東西線/茅場町駅 歩2分\n東京メトロ日比谷線/八丁堀駅 歩3分\nＪＲ山手線/東京駅 歩15分'],9.7万円,,
東京メトロ東西線 飯田橋駅 5階建 築3年,東京都千代田区飯田橋１,['東京メトロ東西線/飯田橋駅 歩3分\n東京メトロ東西線/九段下駅 歩10分\nＪＲ中央線/水道橋駅 歩11分'],10.3万円,,
都営浅草線 東日本橋駅 11階建 築22年,東京都中央区日本橋久松町,['都営浅草線/東日本橋駅 歩3分\n都営新宿線/馬喰横山駅 歩3分\n東京メトロ日比谷線/人形町駅 歩8分'],9.45万円,,
ラグジュアリーアパートメント東日本橋,東京都中央区日本橋久松町,['都営浅草線/東日本橋駅 歩3分\n都営新宿線/馬喰横山駅 歩3分\nＪＲ総武線快速/馬喰町駅 歩7分'],9.45万円,,
アーバンステージ月島III,東京都中央区月島２,['東京メトロ有楽町線/月島駅 歩2分\n都営大江戸線/勝どき駅 歩8分\nＪＲ京葉線/越中島駅 歩16分'],10万円,,
フィオーレ月島,東京都中央区佃２,['都営大江戸線/月島駅 歩4分\nＪＲ京葉線/越中島駅 歩13分\n都営大江戸線/勝どき駅 歩15分'],12.4万円,,
マルベリーラグーン勝どき,東京都中央区勝どき４,['都営大江戸線/勝どき駅 歩3分\n東京メトロ有楽町線/月島駅 歩10分\n東京メトロ日比谷線/築地駅 歩19分'],8万円,,
都営大江戸線 勝どき駅 12階建 築22年,東京都中央区勝どき４,['都営大江戸線/勝どき駅 歩3分\n東京メトロ有楽町線/月島駅 歩10分\n都営大江戸線/築地市場駅 歩18分'],8万円,,
ドルチェ銀座東壱番館,東京都中央区入船１,['東京メトロ日比谷線/八丁堀駅 歩3分\n東京メトロ有楽町線/新富町駅 歩6分\n都営浅草線/宝町駅 歩9分'],9.2万円,,
東京メトロ日比谷線 茅場町駅 10階建 築24年,東京都中央区新川２,['東京メトロ日比谷線/茅場町駅 歩6分\nＪＲ京葉線/八丁堀駅 歩5分\n都営浅草線/宝町駅 歩14分'],9万円,,
シンシア日本橋新川,東京都中央区新川２,['東京メトロ日比谷線/八丁堀駅 歩5分\n東京メトロ東西線/茅場町駅 歩5分\n東京メトロ半蔵門線/水天宮前駅 歩13分'],11.7万円,,
プレール日本橋壱番館,東京都中央区日本橋蛎殻町２,['東京メトロ半蔵門線/水天宮前駅 歩3分\n都営浅草線/人形町駅 歩6分\n都営新宿線/浜町駅 歩9分'],7.9万円,,
東京メトロ半蔵門線 水天宮前駅 12階建 築24年,東京都中央区日本橋蛎殻町２,['東京メトロ半蔵門線/水天宮前駅 歩3分\n東京メトロ日比谷線/人形町駅 歩6分\n都営新宿線/浜町駅 歩9分'],8.4万円,,
東京メトロ半蔵門線 半蔵門駅 13階建 築7年,東京都千代田区一番町,['東京メトロ半蔵門線/半蔵門駅 歩4分\n東京メトロ有楽町線/麹町駅 歩10分\n東京メトロ南北線/市ケ谷駅 歩12分'],17.5万円,,
ＪＲ中央線 市ケ谷駅 8階建 築35年,東京都千代田区三番町,['ＪＲ中央線/市ケ谷駅 歩7分\n東京メトロ半蔵門線/半蔵門駅 歩9分\n東京メトロ東西線/九段下駅 歩11分'],15万円,,
カスタリア新富町,東京都中央区入船３,['東京メトロ有楽町線/新富町駅 歩2分\n東京メトロ日比谷線/築地駅 歩5分\n都営浅草線/宝町駅 歩12分'],14.8万円,,
東京メトロ銀座線 末広町駅 地下1地上15階建 築19年,東京都千代田区外神田４,['東京メトロ銀座線/末広町駅 歩2分\n東京メトロ日比谷線/秋葉原駅 歩6分\nＪＲ山手線/御徒町駅 歩8分'],11.4万円,,
レジディア新川,東京都中央区新川２,['東京メトロ日比谷線/八丁堀駅 歩5分\n東京メトロ東西線/茅場町駅 歩9分\n東京メトロ半蔵門線/水天宮前駅 歩15分'],11.8万円,,
都営浅草線 宝町駅 地下1地上5階建 築2年,東京都中央区八丁堀４,['都営浅草線/宝町駅 歩3分\n東京メトロ日比谷線/八丁堀駅 歩4分\n東京メトロ銀座線/京橋駅 歩6分'],9.8万円,,
レティーナ銀座EAST,東京都中央区八丁堀４,['都営浅草線/宝町駅 歩3分\n東京メトロ日比谷線/八丁堀駅 歩4分\n東京メトロ銀座線/京橋駅 歩6分'],9.8万円,,
東京メトロ日比谷線 人形町駅 12階建 築24年,東京都中央区日本橋堀留町２,['東京メトロ日比谷線/人形町駅 歩3分\n都営新宿線/馬喰横山駅 歩7分\n東京メトロ半蔵門線/水天宮前駅 歩7分'],10万円,,
東京メトロ半蔵門線 水天宮前駅 8階建 築23年,東京都中央区日本橋箱崎町,['東京メトロ半蔵門線/水天宮前駅 歩3分\n東京メトロ日比谷線/人形町駅 歩10分\n東京メトロ東西線/茅場町駅 歩10分'],8.4万円,,
エクシム東日本橋,東京都中央区東日本橋１,['都営浅草線/東日本橋駅 歩5分\n都営新宿線/浜町駅 歩5分\n都営新宿線/馬喰横山駅 歩9分'],8万円,,
東京メトロ日比谷線 茅場町駅 12階建 築23年,東京都中央区日本橋兜町,['東京メトロ日比谷線/茅場町駅 歩4分\n東京メトロ銀座線/日本橋駅 歩5分\nＪＲ山手線/東京駅 歩19分'],17.3万円,,
デュオ・スカーラ兜町,東京都中央区日本橋兜町,['東京メトロ銀座線/日本橋駅 歩5分\n東京メトロ東西線/茅場町駅 歩4分\n東京メトロ日比谷線/人形町駅 歩10分'],17.3万円,,
ＪＲ京葉線 八丁堀駅 地下1地上14階建 築19年,東京都中央区新川２,['ＪＲ京葉線/八丁堀駅 歩2分\n東京メトロ日比谷線/茅場町駅 歩9分\nＪＲ山手線/東京駅 歩20分'],12.7万円,,
東京メトロ銀座線 末広町駅 地下1地上15階建 築19年,東京都千代田区外神田４,['東京メトロ銀座線/末広町駅 歩2分\n東京メトロ日比谷線/秋葉原駅 歩6分\nＪＲ山手線/御徒町駅 歩8分'],11.4万円,,
東京メトロ半蔵門線 水天宮前駅 11階建 築23年,東京都中央区日本橋蛎殻町１,['東京メトロ半蔵門線/水天宮前駅 歩5分\n東京メトロ東西線/茅場町駅 歩6分\n東京メトロ日比谷線/人形町駅 歩7分'],8万円,,
GRAN PASEO　日本橋三越前,東京都中央区日本橋小舟町,['ＪＲ総武線快速/新日本橋駅 歩4分\n東京メトロ銀座線/三越前駅 歩5分\n東京メトロ日比谷線/小伝馬町駅 歩6分'],14.4万円,,
パレステュディオ日本橋東壱番館,東京都中央区日本橋箱崎町,['東京メトロ半蔵門線/水天宮前駅 歩3分\n東京メトロ東西線/茅場町駅 歩11分\n都営浅草線/人形町駅 歩11分'],8.5万円,,
東京メトロ日比谷線 築地駅 地下1地上10階建 築33年,東京都中央区築地３,['東京メトロ日比谷線/築地駅 歩3分\n東京メトロ有楽町線/新富町駅 歩6分\n都営浅草線/東銀座駅 歩9分'],12.7万円,,
パークウェル秋葉原,東京都千代田区岩本町３,['ＪＲ総武線快速/馬喰町駅 歩9分\nＪＲ山手線/秋葉原駅 歩5分\n都営新宿線/岩本町駅 歩4分'],11.1万円,,
東京メトロ半蔵門線 神保町駅 14階建 築3年,東京都千代田区神田猿楽町２,['東京メトロ半蔵門線/神保町駅 歩6分\nＪＲ中央線/水道橋駅 歩6分\n東京メトロ半蔵門線/半蔵門駅 歩6分'],13.4万円,,
ルフォンプログレ千代田御茶ノ水,東京都千代田区神田猿楽町２,['ＪＲ中央線/水道橋駅 歩6分\nＪＲ中央線/御茶ノ水駅 歩9分\n都営三田線/神保町駅 歩6分'],13.6万円,,
パレステュディオ御茶ノ水駿河台弐番館,東京都千代田区神田錦町３,['東京メトロ千代田線/新御茶ノ水駅 歩5分\nＪＲ山手線/神田駅 歩12分\n東京メトロ東西線/竹橋駅 歩8分'],8.8万円,,
東京メトロ有楽町線 麹町駅 地下1地上12階建 築20年,東京都千代田区麹町３,['東京メトロ有楽町線/麹町駅 歩4分\n東京メトロ半蔵門線/半蔵門駅 歩3分\n東京メトロ有楽町線/永田町駅 歩14分'],29万円,,
ジェノヴィア水天宮前2スカイガーデン,東京都中央区日本橋中洲,['東京メトロ半蔵門線/水天宮前駅 歩7分\n都営新宿線/浜町駅 歩7分\n都営大江戸線/清澄白河駅 歩11分'],13.7万円,,
トーシンフェニックス日本橋浜町弐番館,東京都中央区日本橋浜町１,['都営新宿線/浜町駅 歩2分\n東京メトロ日比谷線/人形町駅 歩6分\n東京メトロ半蔵門線/水天宮前駅 歩10分'],15.6万円,,
プライマル勝どき,東京都中央区勝どき６,['都営大江戸線/勝どき駅 歩9分\n都営大江戸線/月島駅 歩19分\n東京メトロ有楽町線/月島駅 歩20分'],10.2万円,,
